source_dataset	dataset_role	source_row_index	id	word	subset	generated_from	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	own_context_win_rate	weighted_own_context_win_rate	weighted_own_context_log_prob_advantage	top1_own_context_win_rate	top1_mean_own_context_log_prob_advantage	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
just	discourse_particle	0	1157	just	h	P	50	1	50.0	0.6258745574951172	0.44118499755859375	0.05244306662967358	0.82	0.9825385599659302	0.2908074065325581	1.0	0.044189453125	50.0	50	25.5
just	discourse_particle	0	1157	just	h	P_prime	50	1	50.0	0.004749736785888672	-0.0228271484375	-0.0006775388264798898	0.48	0.614349103831062	0.034140380636233564	1.0	0.033203125	50.0	50	25.5
just	discourse_particle	1	5467	just	h	P	50	1	50.0	0.2880061674118042	0.2484130859375	0.03044207659508321	0.7	0.9360699444586525	0.22484715155603321	1.0	0.02685546875	50.0	50	25.5
just	discourse_particle	1	5467	just	h	P_prime	50	1	50.0	0.1373365330696106	0.0751953125	0.01691343886768244	0.56	0.9517798401550555	1.3822777526951349	1.0	0.974609375	50.0	50	25.5
just	discourse_particle	2	2485	just	h	P	50	1	50.0	0.4590859222412109	0.189910888671875	0.0454118262422156	0.78	0.8887050756322202	0.14065618154803125	0.0	-0.01416015625	50.0	50	26.18
just	discourse_particle	2	2485	just	h	P_prime	50	1	50.0	-0.005879383087158203	-0.0418701171875	-0.004950955470070525	0.46	0.07355356535600523	-0.14361763486414028	0.0	-0.1707763671875	50.0	50	26.44
just	discourse_particle	3	2798	just	h	P	50	1	50.0	0.6679991793632507	0.5495033264160156	0.0363733156916384	0.66	0.06594584728560612	-0.3912035467544916	1.0	0.75146484375	50.0	50	25.5
just	discourse_particle	3	2798	just	h	P_prime	50	1	50.0	0.4380965280532837	0.4918861389160156	0.048505049113368864	0.74	0.9926160362390447	0.3224536897280116	1.0	0.1839599609375	50.0	50	25.5
just	discourse_particle	4	1627	just	h	P	50	1	50.0	0.15534204483032227	0.07439422607421875	0.029649597119340915	0.68	0.9999987527875414	0.22053196932709399	1.0	0.3634166717529297	50.0	50	25.84
just	discourse_particle	4	1627	just	h	P_prime	50	1	50.0	0.22573824882507323	0.19010162353515625	0.013559267639648568	0.6	1.624801880501429e-05	-0.03402525734327047	0.0	-0.0166015625	50.0	50	25.5
just	discourse_particle	5	4508	just	h	P	50	1	50.0	0.22250965118408203	0.1785888671875	0.01303117981006072	0.6	0.7206320004907699	0.12198058097491578	1.0	0.15472412109375	50.0	50	25.5
just	discourse_particle	5	4508	just	h	P_prime	50	1	50.0	0.17966354370117188	0.111358642578125	0.022285187422704352	0.52	0.14096611106588752	-0.2753672775395483	1.0	1.4033203125	50.0	50	25.5
just	discourse_particle	6	638	just	h	P	50	1	50.0	0.1880173110961914	0.2120361328125	0.02206312331365967	0.64	0.7457891672932659	0.188136538539207	1.0	0.2685546875	50.0	50	25.5
just	discourse_particle	6	638	just	h	P_prime	50	1	50.0	-0.016132254600524903	-0.0419921875	0.0008845217656754012	0.46	0.008916886944636977	-0.3743152929628559	1.0	0.0986328125	50.0	50	25.5
just	discourse_particle	7	8659	just	h	P	50	1	50.0	0.1911019515991211	0.16449737548828125	0.012607551343942607	0.72	0.3428902346718772	-0.023509245406898936	0.0	-0.0785064697265625	50.0	50	25.5
just	discourse_particle	7	8659	just	h	P_prime	50	1	50.0	0.04654884338378906	-0.0352210998535156	0.00438320406200054	0.48	0.5230089418260788	-0.008564268965261005	0.0	-0.024658203125	50.0	50	25.5
just	discourse_particle	8	6078	just	h	P	50	1	50.0	0.2703757858276367	0.2496967315673828	0.021940673852854652	0.76	0.9994952301489324	0.36733658062384944	0.0	-0.1705493927001953	50.0	50	25.8
just	discourse_particle	8	6078	just	h	P_prime	50	1	50.0	0.03840293884277344	0.03245162963867185	0.002981327746386554	0.54	0.050561593791007775	-0.3645948389937214	0.0	-0.3125	50.0	50	25.5
just	discourse_particle	9	9954	just	h	P	50	1	50.0	0.12841583251953126	0.098175048828125	0.009501313292308206	0.62	0.9992204276128828	0.12142765386125604	1.0	0.19580078125	50.0	50	25.5
just	discourse_particle	9	9954	just	h	P_prime	50	1	50.0	-0.03068087577819824	-0.085418701171875	-0.00408798642659009	0.36	0.000357358842616064	-0.14510586964964364	0.0	-0.10528564453125	50.0	50	25.5
just	discourse_particle	10	5138	just	h	P	50	1	50.0	0.2365427303314209	0.17783355712890625	0.01832115315393821	0.68	0.32453761778557216	-0.13950629940355025	1.0	0.318359375	50.0	50	25.5
just	discourse_particle	10	5138	just	h	P_prime	50	1	50.0	0.4678928756713867	0.15227890014648435	0.02207790694351486	0.66	0.10925640810526538	0.23233925108124548	1.0	9.957897186279297	50.0	50	25.5
just	discourse_particle	11	498	just	h	P	50	1	50.0	0.12847599983215333	0.15203857421875	0.01626744106409038	0.64	0.8893224120454226	0.33823087203145863	0.0	-0.3082275390625	50.0	50	25.5
just	discourse_particle	11	498	just	h	P_prime	50	1	50.0	0.02575157642364502	0.0579986572265625	0.009213896041010042	0.54	0.9932458364153985	0.13826788634245377	0.0	-0.53759765625	50.0	50	25.5
just	discourse_particle	12	7769	just	h	P	50	1	50.0	0.4774624466896057	0.2148895263671875	0.02483954845009946	0.7	0.10517154911630285	-0.1189162557851718	1.0	0.7089691162109375	50.0	50	25.5
just	discourse_particle	12	7769	just	h	P_prime	50	1	50.0	0.14215529203414917	0.0145111083984375	0.003400927815897964	0.52	0.09107231114631416	-0.31441634729214724	1.0	0.764251708984375	50.0	50	26.16
just	discourse_particle	13	12718	just	h	P	50	1	50.0	0.2083885860443115	0.1922607421875	0.020787844520411457	0.78	0.016101869487138362	-0.05421830098090134	1.0	0.209228515625	50.0	50	25.5
just	discourse_particle	13	12718	just	h	P_prime	50	1	50.0	-0.11993631362915039	-0.139404296875	-0.013447331070470234	0.26	0.9919866747163819	0.061966082108525285	1.0	0.321533203125	50.0	50	25.5
just	discourse_particle	14	8242	just	h	P	50	1	50.0	0.08979915618896485	0.09281539916992185	0.009820830024821304	0.6	0.7093165919615683	0.10194766733135488	1.0	0.14599609375	50.0	50	25.5
just	discourse_particle	14	8242	just	h	P_prime	50	1	50.0	0.02010570526123047	0.06854248046875	0.0031999896402262785	0.54	0.7228011545013361	0.04293392976943154	0.0	-0.1389102935791015	50.0	50	25.5
just	discourse_particle	15	8890	just	h	P	50	1	50.0	0.12044536590576171	0.0291090011596679	0.004827474546356109	0.52	0.9779336678936192	0.15571403788086946	0.0	-1.1054534912109375	50.0	50	25.5
just	discourse_particle	15	8890	just	h	P_prime	50	1	50.0	-0.03453272819519043	-0.03029632568359375	-0.004285553093669611	0.48	2.0533571706322506e-05	-0.10768670119576526	1.0	0.237060546875	50.0	50	25.5
just	discourse_particle	16	10613	just	h	P	50	1	50.0	0.21329726219177247	0.1859130859375	0.015731308972402172	0.74	0.37787621688884726	-0.014013969234414515	1.0	0.12109375	50.0	50	27.94
just	discourse_particle	16	10613	just	h	P_prime	50	1	50.0	0.049772415161132816	0.069091796875	0.004826468760193223	0.56	0.602844951129645	0.03351614533569998	0.0	-0.1328125	50.0	50	27.4
just	discourse_particle	17	6323	just	h	P	50	1	50.0	0.07329559326171875	0.07894515991210935	0.00023632919471584628	0.68	0.001978736803713119	-0.1680396242237535	0.0	-0.1431198120117187	50.0	50	25.5
just	discourse_particle	17	6323	just	h	P_prime	50	1	50.0	-0.026310780048370362	-0.02683258056640625	-0.001561827095423482	0.42	0.013562987643309776	-0.07792425308825401	1.0	0.0106544494628906	50.0	50	25.5
just	discourse_particle	18	4012	just	h	P	50	1	50.0	0.18153014421463012	0.15555572509765625	0.012127689653505334	0.64	0.0014686487383918595	-0.010660843770059407	1.0	0.04833984375	50.0	50	25.5
just	discourse_particle	18	4012	just	h	P_prime	50	1	50.0	0.15057405471801757	0.00049209594726565	0.010470689840040608	0.5	0.9019178912372455	0.0197220127422964	0.0	-0.08209228515625	50.0	50	25.5
just	discourse_particle	19	9268	just	h	P	50	1	50.0	0.10858469724655151	0.095672607421875	0.007185670697121188	0.64	0.060298130046260244	-0.10221152210053978	1.0	0.33154296875	50.0	50	25.5
just	discourse_particle	19	9268	just	h	P_prime	50	1	50.0	0.029655692577362062	0.08674144744873044	0.00858196065032098	0.6	0.21043791358528935	0.07733300970572021	0.0	-0.13214111328125	50.0	50	25.5
just	discourse_particle	20	788	just	h	P	50	1	50.0	0.05813038825988769	0.00805282592773435	0.004262317334994026	0.54	0.23307261133158516	-0.039836599995185275	0.0	-0.08544921875	50.0	50	26.86
just	discourse_particle	20	788	just	h	P_prime	50	1	50.0	0.020972371101379395	0.02082443237304685	0.00556516996134381	0.56	0.9579285607640701	0.06798554136839717	1.0	0.30474853515625	50.0	50	26.42
just	discourse_particle	21	5758	just	h	P	50	1	50.0	0.24660102844238282	0.26934814453125	0.010977584472177625	0.72	0.28709920834975844	-0.0767767210157878	0.0	-0.5862884521484375	50.0	50	25.5
just	discourse_particle	21	5758	just	h	P_prime	50	1	50.0	0.07849090576171874	0.23384857177734375	0.012144162453118754	0.64	0.9987986731045849	0.42966978666619415	0.0	-0.55706787109375	50.0	50	25.64
just	discourse_particle	22	7873	just	h	P	50	1	50.0	0.021628036499023437	0.03271484375	-0.004726415983954811	0.52	0.006304362830104615	-0.9505973308413098	0.0	-0.7728424072265625	50.0	50	25.5
just	discourse_particle	22	7873	just	h	P_prime	50	1	50.0	0.24795653343200683	0.03350830078125	0.013742254743036326	0.56	0.7486986147355204	0.042191171320268804	0.0	-0.409423828125	50.0	50	25.5
just	discourse_particle	23	2141	just	h	P	50	1	50.0	0.18702049255371095	0.14461898803710935	0.0166589154043813	0.72	0.9888977478666703	0.3542576992023697	1.0	1.5161809921264648	50.0	50	25.5
just	discourse_particle	23	2141	just	h	P_prime	50	1	50.0	0.13762809753417968	0.05255126953125	-0.0015935320305105847	0.54	0.41011369928697633	-0.052781190983181285	1.0	0.1070404052734375	50.0	50	25.62
just	discourse_particle	24	5388	just	h	P	50	1	50.0	0.3429004836082459	0.2783203125	0.021321467162333085	0.68	0.30437386965631147	0.11041268685344727	1.0	0.0304718017578125	50.0	50	25.5
just	discourse_particle	24	5388	just	h	P_prime	50	1	50.0	-0.10334434509277343	-0.11023712158203125	-0.007839507994900002	0.4	0.03395749844782988	-0.0764357681613279	0.0	-0.2607192993164062	50.0	50	26.78
just	discourse_particle	25	1001	just	h	P	50	1	50.0	0.295047721862793	0.28173828125	0.016434672233606836	0.78	0.9986861484721996	0.009813220558706958	1.0	0.23828125	50.0	50	25.5
just	discourse_particle	25	1001	just	h	P_prime	50	1	50.0	0.2182997488975525	0.1633186340332031	0.004419895902230083	0.56	0.0102940577719023	-0.4351760256838075	0.0	-0.1912841796875	50.0	50	25.5
just	discourse_particle	26	9687	just	h	P	50	1	50.0	0.40952898025512696	0.5317988395690918	0.03806331365568704	0.76	0.056161962146131617	-0.04175487949463853	1.0	1.5565185546875	50.0	50	25.5
just	discourse_particle	26	9687	just	h	P_prime	50	1	50.0	0.19481279373168944	0.16992950439453125	0.012739639114114909	0.56	0.01964391151831812	-0.2918826106953549	1.0	0.6993408203125	50.0	50	25.5
just	discourse_particle	27	6768	just	h	P	50	1	50.0	0.09338356018066406	0.109405517578125	0.006216373781278609	0.64	0.7025084408810012	0.10623862763774596	1.0	0.0478878021240234	50.0	50	25.5
just	discourse_particle	27	6768	just	h	P_prime	50	1	50.0	0.10620095252990723	0.04117584228515625	0.00777919168212413	0.58	0.99287032911994	0.01460157934597983	0.0	-0.0096435546875	50.0	50	25.5
just	discourse_particle	28	12662	just	h	P	50	1	50.0	2.1393624114990235	3.09326171875	0.26185919332676294	0.72	0.970454491650561	3.266422457089586	1.0	4.819942474365234	50.0	50	27.12
just	discourse_particle	28	12662	just	h	P_prime	50	1	50.0	1.0045775580406189	1.3385848999023438	0.19432742636164185	0.72	0.18791512124183857	0.0026401999756146743	1.0	1.47021484375	50.0	50	25.5
just	discourse_particle	29	1461	just	h	P	50	1	50.0	0.19540895462036134	0.2176971435546875	0.01591029504128897	0.74	0.3465365288834119	0.07823770333062094	1.0	0.2281532287597656	50.0	50	25.7
just	discourse_particle	29	1461	just	h	P_prime	50	1	50.0	0.039883179664611815	0.0593414306640625	0.0025633272922093685	0.56	0.9503504323658942	0.05565276189972171	1.0	0.384429931640625	50.0	50	25.5
