source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_win_rate_per_token	p_weighted_win_rate	p_weighted_win_rate_per_token	p_mean_advantage	p_mean_advantage_per_token	p_weighted_advantage	p_weighted_advantage_per_token	p_top1_win	p_top1_win_per_token	p_top1_advantage	p_top1_advantage_per_token	p_prime_win_rate	p_prime_win_rate_per_token	p_prime_weighted_win_rate	p_prime_weighted_win_rate_per_token	p_prime_mean_advantage	p_prime_mean_advantage_per_token	p_prime_weighted_advantage	p_prime_weighted_advantage_per_token	p_prime_top1_win	p_prime_top1_win_per_token	p_prime_top1_advantage	p_prime_top1_advantage_per_token	both_mean_advantages_positive	both_top1_own_context_wins
not	meaning_control	0	5	not	h	50	50	0	0.0	1.0	1.0	1.0	1.0	0.2323210109927554	0.2323210109927554	0.2316935442077057	0.2316935442077057	1.0	1.0	0.2384013558087283	0.2384013558087283	1.0	1.0	1.0	1.0	0.1946263299182049	0.1946263299182049	0.19517671667441083	0.19517671667441083	1.0	1.0	0.2542276848107576	0.2542276848107576	True	True
not	meaning_control	1	7	not	h	50	50	0	0.0	0.9	0.9	0.9116540627976464	0.9116540627976464	0.10327412676936047	0.10327412676936047	0.10165339331528116	0.10165339331528116	1.0	1.0	0.0041137337684631	0.0041137337684631	0.92	0.92	0.9427206960015975	0.9427206960015975	0.11383168180965139	0.11383168180965139	0.11119841196024328	0.11119841196024328	1.0	1.0	0.0616799051111394	0.0616799051111394	True	True
not	meaning_control	2	15	not	h	50	50	0	0.0	1.0	1.0	1.0	1.0	0.3836484876947933	0.3836484876947933	0.3849476893996649	0.3849476893996649	1.0	1.0	0.4072227983763724	0.4072227983763724	1.0	1.0	1.0	1.0	0.6667504424882427	0.6667504424882427	0.6660517370872889	0.6660517370872889	1.0	1.0	0.8180057423455375	0.8180057423455375	True	True
not	meaning_control	3	71	not	h	50	50	0	0.0	0.98	0.98	0.9765003787215241	0.9765003787215241	0.15045055885906844	0.15045055885906844	0.151617161108792	0.151617161108792	1.0	1.0	0.0957107934084806	0.0957107934084806	0.92	0.92	0.9236382620640501	0.9236382620640501	0.18640460193235142	0.18640460193235142	0.186318730640693	0.186318730640693	1.0	1.0	0.212952505458485	0.212952505458485	True	True
not	meaning_control	4	81	not	h	50	50	0	0.0	1.0	1.0	1.0	1.0	0.5037772853531276	0.5037772853531276	0.51132794682608	0.51132794682608	1.0	1.0	0.4645787172539289	0.4645787172539289	1.0	1.0	1.0	1.0	0.9068395091652465	0.9068395091652465	0.8968223847348679	0.8968223847348679	1.0	1.0	0.9647632656675396	0.9647632656675396	True	True
not	meaning_control	5	226	not	h	50	50	0	0.0	1.0	1.0	1.0	1.0	0.15803909042131897	0.15803909042131897	0.15923210743573754	0.15923210743573754	1.0	1.0	0.0739620352444583	0.0739620352444583	0.98	0.98	0.9816185825200285	0.9816185825200285	0.2283699253879635	0.2283699253879635	0.23324425622302122	0.23324425622302122	1.0	1.0	0.2894755942480904	0.2894755942480904	True	True
not	meaning_control	6	244	not	h	50	50	0	0.0	1.0	1.0	1.0	1.0	0.45247165978089116	0.45247165978089116	0.45438106880150886	0.45438106880150886	1.0	1.0	0.4072297521999904	0.4072297521999904	1.0	1.0	1.0	1.0	0.5912930967830267	0.5912930967830267	0.5890815016723665	0.5890815016723665	1.0	1.0	0.8567532519904936	0.8567532519904936	True	True
not	meaning_control	7	272	not	h	50	50	0	0.0	1.0	1.0	1.0	1.0	0.11003392109021619	0.11003392109021619	0.11064611804197662	0.11064611804197662	1.0	1.0	0.0433772546904427	0.0433772546904427	0.98	0.98	0.9763782404149091	0.9763782404149091	0.14333855622634578	0.14333855622634578	0.14053484953706286	0.14053484953706286	1.0	1.0	0.1394086480140686	0.1394086480140686	True	True
not	meaning_control	8	302	not	h	50	50	0	0.0	0.94	0.94	0.9415612582416992	0.9415612582416992	0.06991046205666623	0.06991046205666623	0.07135643454460724	0.07135643454460724	1.0	1.0	0.0381547980838351	0.0381547980838351	0.76	0.76	0.7606331685911739	0.7606331685911739	0.03981941427784332	0.03981941427784332	0.039092887802270014	0.039092887802270014	1.0	1.0	0.010442054271698	0.010442054271698	True	True
not	meaning_control	9	309	not	h	50	50	0	0.0	0.98	0.98	0.9815282886028183	0.9815282886028183	0.15664847651740893	0.15664847651740893	0.15704711371458976	0.15704711371458976	1.0	1.0	0.0383815693132805	0.0383815693132805	0.98	0.98	0.983056663689535	0.983056663689535	0.3858092993582672	0.3858092993582672	0.39134105510016604	0.39134105510016604	1.0	1.0	0.5469342999988133	0.5469342999988133	True	True
